Sl no,DISTRICT,BLOCK,Block Code,ONT LOCATION NAME,LOCATION CODE,ONT AVAILABILITY(%),REMARKS,HOTO Status,"GP Router Installed(Yes/No)",GP Router Installation Date,"Visibility in SNOC(Yes/ No)","Visibility in SNOC(Date)",LGD Code
60,THIRUVANANTHAPURAM,PERUMKADAVILA,6383,KALLIKKADU,KL-THM-PER-221795,31.18,02-61%,Completed,No,,No,,KL-THM-PER-221795
61,PATHANAMTHITTA,ELANTHOOR,6368,ELANTHOOR,KL-PNM-ELA-221699,31.25,02-61%,Completed,No,,No,,KL-PNM-ELA-221699
62,PATHANAMTHITTA,RANNI,6375,RANNI PAZHAVANGADI,KL-PNM-RAN-221746,31.63,02-61%,Completed,No,,No,,KL-PNM-RAN-221746
63,THIRUVANANTHAPURAM,POTHENCODE,6378,POTHENCODE,KL-THM-POT-221766,31.7,02-61%,Completed,No,,No,,KL-THM-POT-221766
64,THIRUVANANTHAPURAM,KILIMANOOR,6379,NAGAROOR,KL-THM-KIL-221770,31.92,02-61%,Completed,No,,No,,KL-THM-KIL-221770
65,ALAPPUZHA,BHARANICAVU,6262,VALLIKUNNAM,KL-ALA-BHA-220981,32.86,02-61%,Completed,No,,No,,KL-ALA-BHA-220981
66,MALAPPURAM,KUTTIPPURAM,6343,ATHAVANAD,KL-MPP-KUT-221524,32.91,02-61%,Completed,No,,No,,KL-MPP-KUT-221524
67,THRISSUR,PAZHAYANNUR,6398,KONDAZHY,KL-THR-PAZ-221882,32.92,02-61%,Completed,No,,No,,KL-THR-PAZ-221882
68,KOZHIKODE,THUNERI,6339,CHEKKIAD,KL-KOZ-THU-221499,32.94,02-61%,Completed,No,,No,,KL-KOZ-THU-221499
69,KOTTAYAM,UZHAVOOR,6326,KURAVILANGAD,KL-KTM-UZH-221419,32.96,02-61%,Completed,No,,No,,KL-KTM-UZH-221419
70,KOZHIKODE,BALUSSERI,6329,KOTTUR,KL-KOZ-BAL-221438,33.11,02-61%,Completed,No,,No,,KL-KOZ-BAL-221438
71,MALAPPURAM,KONDOTTY,6342,BHQ KONDOTTY,KL-MPP-KON-BH6034,33.29,02-61%,Completed,No,,No,,KL-MPP-KON-BH6034
72,THRISSUR,MATHILAKAM,6395,SREE NARAYANAPURAM,KL-THR-MAT-221871,33.44,02-61%,Completed,No,,No,,KL-THR-MAT-221871
73,PALAKKAD,SREEKRISHNAPURAM,6366,KARAKURISSI,KL-PAL-SRE-221646,33.66,02-61%,Completed,No,,No,,KL-PAL-SRE-221646
74,KOZHIKODE,CHELANNUR,6330,NANMANDA,KL-KOZ-CHE-221446,33.67,02-61%,Completed,No,,No,,KL-KOZ-CHE-221446
75,KOZHIKODE,KUNNUMMAL,6334,KUNNUMAL,KL-KOZ-KUN-221473,33.7,02-61%,Completed,No,,No,,KL-KOZ-KUN-221473
76,KOTTAYAM,MADAPPALLY,6323,PAIPPAD,KL-KTM-MAD-221399,33.7,02-61%,Completed,No,,No,,KL-KTM-MAD-221399
77,ALAPPUZHA,AMBALAPPUZHA,6260,PURAKKAD,KL-ALA-AMB-220972,33.82,02-61%,Completed,No,,No,,KL-ALA-AMB-220972
78,ALAPPUZHA,CHENGANNUR,6264,PULIYOOR,KL-ALA-CHE-220994,33.85,02-61%,Completed,No,,No,,KL-ALA-CHE-220994
79,THIRUVANANTHAPURAM,CHIRAYINKEEZHU,6377,AZHOOR,KL-THM-CHI-221757,34.26,02-61%,Completed,No,,No,,KL-THM-CHI-221757
80,ALAPPUZHA,THYCATTUSSERY,6270,PERUMBALAM,KL-ALA-THY-221033,34.4,02-61%,Completed,No,,No,,KL-ALA-THY-221033
81,PATHANAMTHITTA,KONNI,6370,KONNI,KL-PNM-KON-221711,34.52,02-61%,Completed,No,,No,,KL-PNM-KON-221711
82,PALAKKAD,OTTAPPALAM,6363,VALLAPUZHA,KL-PAL-OTT-221681,35.62,02-61%,Completed,No,,No,,KL-PAL-OTT-221681
83,THIRUVANANTHAPURAM,NEDUMANGAD,6380,PANAVOOR,KL-THM-NED-221778,35.67,02-61%,Completed,No,,No,,KL-THM-NED-221778
84,ALAPPUZHA,BHARANICAVU,6262,PALAMEL,KL-ALA-BHA-220980,36.36,02-61%,Completed,No,,No,,KL-ALA-BHA-220980
85,ALAPPUZHA,MUTHUKULAM,6268,ARATTUPUZHA,KL-ALA-MUT-221015,36.98,02-61%,Completed,No,,No,,KL-ALA-MUT-221015
86,KANNUR,IRITTY,6296,AYYANKUNNU,KL-KNU-IRI-221196,37.22,02-61%,Completed,No,,No,,KL-KNU-IRI-221196
87,THIRUVANANTHAPURAM,VAMANAPURAM,6384,KALLARA,KL-THM-VAM-221801,37.31,02-61%,Completed,No,,No,,KL-THM-VAM-221801
88,THIRUVANANTHAPURAM,KILIMANOOR,6379,NAVAIKULAM,KL-THM-KIL-221771,37.68,02-61%,Completed,No,,No,,KL-THM-KIL-221771
89,THIRUVANANTHAPURAM,VELLANAD,6386,VELLANAD,KL-THM-VEL-221822,38.26,02-61%,Completed,No,,No,,KL-THM-VEL-221822
90,ALAPPUZHA,AMBALAPPUZHA,6260,AMBALAPPUZHA(SOUTH),KL-ALA-AMB-220969,40.01,02-61%,Completed,No,,No,,KL-ALA-AMB-220969
91,KOZHIKODE,KODUVALLY,6331,THAMARASSERI,KL-KOZ-KOD-221455,40.12,02-61%,Completed,No,,No,,KL-KOZ-KOD-221455
92,KANNUR,EDAKKAD,6294,CHELORA,KL-KNU-EDA-O221177,40.16,02-61%,Completed,No,,No,,KL-KNU-EDA-O221177
93,KOZHIKODE,KUNNUMMAL,6334,NARIPETTA,KL-KOZ-KUN-221477,40.37,02-61%,Completed,No,,No,,KL-KOZ-KUN-221477
94,THRISSUR,PUZHAKKAL,6399,CHELAKKARA,KL-THR-PUZ-221881,40.57,02-61%,Completed,No,,No,,KL-THR-PUZ-221881
95,THIRUVANANTHAPURAM,POTHENCODE,6378,MANGALAPURAM,KL-THM-POT-221765,41.75,02-61%,Completed,No,,No,,KL-THM-POT-221765
96,KOZHIKODE,PERAMBRA,6337,CHAKITTAPARA,KL-KOZ-PER-221488,42.32,02-61%,Completed,No,,No,,KL-KOZ-PER-221488
97,IDUKKI,ELEMDESAM,6289,KUDAYATHOOR,KL-IDU-ELE-221146,43.43,02-61%,Completed,No,,No,,KL-IDU-ELE-221146
98,KOZHIKODE,BALUSSERI,6329,KOORACHUNDU,KL-KOZ-BAL-221437,43.55,02-61%,Completed,No,,No,,KL-KOZ-BAL-221437
99,MALAPPURAM,KONDOTTY,6342,KONDOTTY,KL-MPP-KON-O221518,43.57,02-61%,Completed,No,,No,,KL-MPP-KON-O221518
100,ALAPPUZHA,CHENGANNUR,6264,ALA,KL-ALA-CHE-220988,44.14,02-61%,Completed,No,,No,,KL-ALA-CHE-220988
101,KANNUR,KUTHUPARAMBA,6298,KUNNATHUPARAMBA,KL-KNU-KUT-221208,44.34,02-61%,Completed,No,,No,,KL-KNU-KUT-221208
102,KOZHIKODE,CALICUT RURAL,6332,RAMANATTUKARA,KL-KOZ-KOZ-O221460,45.18,02-61%,Completed,No,,No,,KL-KOZ-KOZ-O221460
103,THRISSUR,KODAKARA,6393,VARANDARAPPILLY,KL-THR-KOD-221859,46.31,02-61%,Completed,No,,No,,KL-THR-KOD-221859
104,ALAPPUZHA,PATTANAKKAD,6269,KUTHIATHODU,KL-ALA-PAT-221026,46.93,02-61%,Completed,No,,No,,KL-ALA-PAT-221026
105,ERNAKULAM,PARAKKADAV,6281,CHENGAMANAD,KL-ERN-PRA-221095,47.64,02-61%,Completed,No,,No,,KL-ERN-PRA-221095
106,PALAKKAD,MANNARKAD,6361,MANNARKAD,KL-PAL-MAN-O221650,47.71,02-61%,Completed,No,,No,,KL-PAL-MAN-O221650
107,KOZHIKODE,KUNNUMMAL,6334,KAVILUMPARA,KL-KOZ-KUN-221471,49.16,02-61%,Completed,No,,No,,KL-KOZ-KUN-221471
108,KOTTAYAM,PALLOM,6324,BHQ PALLOM,KL-KTM-PAL-BH6016,49.8,02-61%,Completed,No,,No,,KL-KTM-PAL-BH6016
109,KOZHIKODE,KODUVALLY,6331,KOODARANJI,KL-KOZ-KOD-221451,49.9,02-61%,Completed,No,,No,,KL-KOZ-KOD-221451
110,PALAKKAD,KUZHALMANNAM,6359,THENKURISSI,KL-PAL-KUZ-221635,50.13,02-61%,Completed,No,,No,,KL-PAL-KUZ-221635
111,KANNUR,EDAKKAD,6294,KOLACHERRY,KL-KNU-EDA-221187,50.97,02-61%,Completed,No,,No,,KL-KNU-EDA-221187
112,MALAPPURAM,KUTTIPPURAM,6343,VALANCHERY,KL-MPP-KUT-O221529,51.53,02-61%,Completed,No,,No,,KL-MPP-KUT-O221529
113,MALAPPURAM,PERINTHALMANNA,6347,KEEZHATTUR,KL-MPP-PNT-221557,51.97,02-61%,Completed,No,,No,,KL-MPP-PNT-221557
114,WAYANAD,KALPETTA,6403,MUPPAINADU,KL-WAY-KAL-221915,52.14,02-61%,Completed,No,,No,,KL-WAY-KAL-221915
115,PALAKKAD,PATTAMBI,6365,THIRUVEGAPURAM,KL-PAL-PAT-221680,52.16,02-61%,Completed,No,,No,,KL-PAL-PAT-221680
116,KOTTAYAM,LALAM,6322,MEENACHIL,KL-KTM-LAL-221394,52.47,02-61%,Completed,No,,No,,KL-KTM-LAL-221394
117,THRISSUR,MALA,6394,POYYA,KL-THR-MAL-221866,52.84,02-61%,Completed,No,,No,,KL-THR-MAL-221866
118,MALAPPURAM,TANUR,6350,PONMUNDAM,KL-MPP-TAN-221573,53.84,02-61%,Completed,No,,No,,KL-MPP-TAN-221573
119,THIRUVANANTHAPURAM,PERUMKADAVILA,6383,PERUMKADAVILA,KL-THM-PER-221799,55.77,02-61%,Completed,No,,No,,KL-THM-PER-221799
120,KANNUR,KALLIASSERI,6884,MADAYI,KL-KNU-KAL-221224,56,02-61%,Completed,No,,No,,KL-KNU-KAL-221224
121,ALAPPUZHA,CHAMPAKULAM,6263,NEDUMUDI,KL-ALA-CHA-220985,56.94,02-61%,Completed,No,,No,,KL-ALA-CHA-220985
122,KOLLAM,PATHANAPURAM,6315,PATTAZHI,KL-KLM-PAT-221346,57.04,02-61%,Completed,No,,No,,KL-KLM-PAT-221346
123,KOZHIKODE,THODANNUR,6338,AYANCHERI,KL-KOZ-THO-221495,57.22,02-61%,Completed,No,,No,,KL-KOZ-THO-221495
124,THRISSUR,ANTHIKKAD,6387,CHAZHOOR,KL-THR-ANT-221825,57.25,02-61%,Completed,No,,No,,KL-THR-ANT-221825
125,THIRUVANANTHAPURAM,VAMANAPURAM,6384,PANGODE,KL-THM-VAM-221805,57.63,02-61%,Completed,No,,No,,KL-THM-VAM-221805
126,ERNAKULAM,PARAVUR,6282,CHENDAMANGALAM,KL-ERN-PAR-221100,57.83,02-61%,Completed,No,,No,,KL-ERN-PAR-221100
127,KASARAGOD,KASARGOD,6304,CHEMNAD,KL-KGD-KAS-221267,58.39,02-61%,Completed,No,,No,,KL-KGD-KAS-221267
128,MALAPPURAM,KUTTIPPURAM,6343,IRIMBILAYAM,KL-MPP-KUT-221526,58.43,02-61%,Completed,No,,No,,KL-MPP-KUT-221526
129,KASARAGOD,PARAPPA,6885,KALLAR,KL-KGD-PAR-221259,58.75,02-61%,Completed,No,,No,,KL-KGD-PAR-221259
130,THRISSUR,CHALAKKUDY,6388,KADUKUTTY,KL-THR-CLA-221829,58.85,02-61%,Completed,No,,No,,KL-THR-CLA-221829
131,MALAPPURAM,KALIKAVU,6881,KALIKAVU,KL-MPP-KAL-221549,58.99,02-61%,Completed,No,,No,,KL-MPP-KAL-221549
132,KOLLAM,MUKHATHALA,6313,THRIKKOVILVATTOM,KL-KLM-MUK-221340,59,02-61%,Completed,No,,No,,KL-KLM-MUK-221340
133,KOTTAYAM,VAIKOM,6327,CHEMPU,KL-KTM-VAI-221424,59.1,02-61%,Completed,No,,No,,KL-KTM-VAI-221424
134,PALAKKAD,SREEKRISHNAPURAM,6366,KADAMPAZHIPURAM,KL-PAL-SRE-221684,61.65,02-61%,Completed,No,,No,,KL-PAL-SRE-221684
135,PALAKKAD,NEMMARA,6362,VANDAZHY,KL-PAL-NEM-221614,62.16,62-70%,Completed,No,,No,,KL-PAL-NEM-221614
136,KASARAGOD,KARADKA,6886,KUMBADAJE,KL-KGD-KAR-221278,62.77,62-70%,Completed,No,,No,,KL-KGD-KAR-221278
137,MALAPPURAM,KALIKAVU,6881,KARUVARAKUNDU,KL-MPP-KAL-221598,63.85,62-70%,Completed,No,,No,,KL-MPP-KAL-221598
138,KOZHIKODE,KODUVALLY,6331,MADAVOOR,KL-KOZ-KOD-221452,66.75,62-70%,Completed,No,,No,,KL-KOZ-KOD-221452
139,MALAPPURAM,TANUR,6350,TANUR,KL-MPP-TAN-O221575,67.2,62-70%,Completed,No,,No,,KL-MPP-TAN-O221575
140,IDUKKI,KATTAPPANA,6291,CHAKKUPALLAM,KL-IDU-KAT-221157,67.53,62-70%,Completed,No,,No,,KL-IDU-KAT-221157
141,KANNUR,PERAVOOR,6300,MUZHAKKUNNU,KL-KNU-PER-221233,67.7,62-70%,Completed,No,,No,,KL-KNU-PER-221233
142,PATHANAMTHITTA,KONNI,6370,VALLICODE,KL-PNM-KON-221716,68,62-70%,Completed,No,,No,,KL-PNM-KON-221716
143,PALAKKAD,KOLLENGODE,6358,PERUVEMBA,KL-PAL-KOL-221640,68.41,62-70%,Completed,No,,No,,KL-PAL-KOL-221640
144,KANNUR,IRITTY,6296,KOODALI,KL-KNU-IRI-221199,68.69,62-70%,Completed,No,,No,,KL-KNU-IRI-221199
145,KOZHIKODE,THODANNUR,6338,VILLIYAPPALLY,KL-KOZ-THO-221498,68.91,62-70%,Completed,No,,No,,KL-KOZ-THO-221498
146,KANNUR,IRIKKUR,6295,PADIYUR,KL-KNU-IRK-221191,69.3,62-70%,Completed,No,,No,,KL-KNU-IRK-221191
147,PALAKKAD,ALATHUR,6355,KAVASERY,KL-PAL-ALA-221609,70.11,62-70%,Completed,No,,No,,KL-PAL-ALA-221609
148,PATHANAMTHITTA,PULIKEEZHU,6374,PERINGARA,KL-PNM-PUL-221741,70.54,62-70%,Completed,No,,No,,KL-PNM-PUL-221741
149,KANNUR,KANNUR,6297,VALAPATTANAM,KL-KNU-KAN-221206,70.79,62-70%,Completed,No,,No,,KL-KNU-KAN-221206
150,KANNUR,KALLIASSERI,6884,KANNAPURAM,KL-KNU-KAL-221240,70.81,62-70%,Completed,No,,No,,KL-KNU-KAL-221240
151,ERNAKULAM,ANGAMALI,6273,AYYAMPUZHA,KL-ERN-ANG-221045,71.41,71-85%,Completed,No,,No,,KL-ERN-ANG-221045
152,THIRUVANANTHAPURAM,VARKALA,6385,OTTOOR,KL-THM-VAR-221814,71.44,71-85%,Completed,No,,No,,KL-THM-VAR-221814
153,THRISSUR,WADAKKANCHERY,6402,WADAKKANCHERY,KL-THR-WAD-O221911,71.71,71-85%,Completed,No,,No,,KL-THR-WAD-O221911
154,ERNAKULAM,KOTHAMANGALAM,6276,POTHANIKKAD,KL-ERN-KOT-221070,71.72,71-85%,Completed,No,,No,,KL-ERN-KOT-221070
155,PALAKKAD,KOLLENGODE,6358,PUTHUNAGARAM,KL-PAL-KOL-221627,72.26,71-85%,Completed,No,,No,,KL-PAL-KOL-221627
156,IDUKKI,ELEMDESAM,6289,VELLIYAMATTOM,KL-IDU-ELE-221149,72.26,71-85%,Completed,No,,No,,KL-IDU-ELE-221149
157,KANNUR,KALLIASSERI,6884,NARATH,KL-KNU-KAL-221243,72.48,71-85%,Completed,No,,No,,KL-KNU-KAL-221243
158,ERNAKULAM,ALANGAD,6272,KADUNGALLUR,KL-ERN-ALA-221043,72.55,71-85%,Completed,No,,No,,KL-ERN-ALA-221043
159,KOZHIKODE,PANTHALAYANI,6336,CHEMANACHERY,KL-KOZ-PAN-221485,72.61,71-85%,Completed,No,,No,,KL-KOZ-PAN-221485
160,THRISSUR,CHERPU,6390,VALLACHIRA,KL-THR-CHE-221842,72.9,71-85%,Completed,No,,No,,KL-THR-CHE-221842
161,PATHANAMTHITTA,MALLAPPALLY,6371,MALLAPPALLY,KL-PNM-MAL-221726,73.01,71-85%,Completed,No,,No,,KL-PNM-MAL-221726
162,KASARAGOD,KASARGOD,6304,BADIYADKA,KL-KGD-KAS-221275,73.02,71-85%,Completed,No,,No,,KL-KGD-KAS-221275
163,THIRUVANANTHAPURAM,VARKALA,6385,CHEMMARUTHY,KL-THM-VAR-221809,73.38,71-85%,Completed,No,,No,,KL-THM-VAR-221809
164,THRISSUR,VELLANGALLUR,6401,BHQ VELLANGALLUR,KL-THR-VEL-BH6096,73.85,71-85%,Completed,No,,No,,KL-THR-VEL-BH6096
165,THRISSUR,WADAKKANCHERY,6402,ERUMAPETTY,KL-THR-WAD-221904,74.32,71-85%,Completed,No,,No,,KL-THR-WAD-221904
166,THRISSUR,WADAKKANCHERY,6402,MULLURKARA,KL-THR-WAD-221906,74.32,71-85%,Completed,No,,No,,KL-THR-WAD-221906
167,THRISSUR,WADAKKANCHERY,6402,VARAVOOR,KL-THR-WAD-221909,74.32,71-85%,Completed,No,,No,,KL-THR-WAD-221909
168,THRISSUR,WADAKKANCHERY,6402,DESAMANGALAM,KL-THR-WAD-221903,74.33,71-85%,Completed,No,,No,,KL-THR-WAD-221903
169,THRISSUR,WADAKKANCHERY,6402,BHQ WADAKKANCHERY,KL-THR-WAD-BH6097,74.33,71-85%,Completed,No,,No,,KL-THR-WAD-BH6097
170,KOLLAM,CHAVARA,6309,PANMANA,KL-KLM-CHA-221314,74.38,71-85%,Completed,No,,No,,KL-KLM-CHA-221314
171,MALAPPURAM,TANUR,6350,PERUMANNAKLARI,KL-MPP-TAN-239031,74.64,71-85%,Completed,No,,No,,KL-MPP-TAN-239031
172,ERNAKULAM,KOTHAMANGALAM,6276,KUTTAMPUZHA,KL-ERN-KOT-221065,75.57,71-85%,Completed,No,,No,,KL-ERN-KOT-221065
173,PALAKKAD,CHITTUR,6357,NALLEPPILLY,KL-PAL-CHI-221620,75.62,71-85%,Completed,No,,No,,KL-PAL-CHI-221620
