SL  no,District,Block,"Block Router Installed (Yes/No)",Block Router Installation Date,Block Code
76,Pathanamthitta,ELANTHOOR,No,,6368
77,Pathanamthitta,PANDLAM,No,,6372
78,Pathanamthitta,PARAKODE,No,,6373
79,Pathanamthitta,PULIKEEZHU,No,,6374
80,Thrissur,IRINJALAKKUDA,No,,6392
81,Trivandrum,ATHIYANNOOR,No,,6376
82,Trivandrum,KILIMANOOR,No,,6379
83,Trivandrum,NEMOM,No,,6381
84,Trivandrum,PARASSALA,No,,6382
85,Trivandrum,VARKALA,No,,6385
86,Ernakulam,ALANGAD,No,,6272
87,Ernakulam,KOOVAPPADY,No,,6275
88,Ernakulam,KOTHAMANGALAM,No,,6276
89,Ernakulam,MUVATTUPUZHA,No,,6278
90,Ernakulam,PARAKKADAV,No,,6281
91,Ernakulam,VADAVUCODE,No,,6283
92,Kannur,IRIKKUR,No,,6295
93,Kannur,KALLIASSERI,No,,6884
94,Kasargod,KANHANGAD,No,,6303
95,Kasargod,KASARGOD,No,,6304
96,Kasargod,NILESHWAR,No,,6306
97,Kottayam,KADUTHURUTHY,No,,6320
98,Kottayam,KANJIRAPPALLY,No,,6321
99,Kottayam,PALLOM,No,,6324
100,Kottayam,UZHAVOOR,No,,6326
101,Kottayam,VAIKOM,No,,6327
102,Kottayam,VAZHOOR,No,,6328
103,Kozhikode,BALUSSERI,No,,6329
104,Kozhikode,KODUVALLY,No,,6331
105,Kozhikode,KOZHIKODE,No,,6332
106,Kozhikode,PANTHALAYANI,No,,6336
107,Kozhikode,THODANNUR,No,,6338
108,Malappuram,KALIKAVU,No,,6881
109,Malappuram,MALAPPURAM,No,,6344
110,Malappuram,NILAMBUR,No,,6346
111,Malappuram,PERINTHALMANNA,No,,6347
112,Malappuram,TIRURANGADI,No,,6352
113,Malappuram,WANDOOR,No,,6354
114,Palakkad,CHITTUR,No,,6357
115,Palakkad,KUZHALMANNAM,No,,6359
116,Palakkad,MANNARKAD,No,,6361
117,Palakkad,NEMMARA,No,,6362
118,Palakkad,SREEKRISHNAPURAM,No,,6366
119,Palakkad,TRITHALA,No,,6367
120,Pathanamthitta,KOIPURAM,No,,6369
121,Pathanamthitta,MALLAPPALLY,No,,6371
122,Pathanamthitta,RANNI,No,,6375
123,Thrissur,CHALAKKUDY,No,,6388
124,Thrissur,MALA,No,,6394
125,Thrissur,PAZHAYANNUR,No,,6398
126,Trivandrum,PERUMKADAVILA,No,,6383
127,Trivandrum,POTHENCODE,No,,6378
128,Idukki,ELEMDESAM,No,,6289
129,Idukki,NEDUMKANDOM,No,,6292
130,Idukki,THODUPUZHA,No,,6293
131,Kannur,IRITTY,No,,6296
132,Kannur,PAYYANNUR,No,,6299
133,Kannur,PERAVOOR,No,,6300
134,Kannur,TALIPARAMBA,No,,6301
135,Kasargod,KARADKA,No,,6886
136,Kasargod,MANJESHWAR,No,,6305
137,Kasargod,PARAPPA,No,,6885
138,Palakkad,ATTAPPADI,No,,6356
139,Palakkad,MALAMPUZHA,No,,6360
140,Trivandrum,CHIRAYINKEEZHU,No,,6377
141,Trivandrum,NEDUMANGAD,No,,6380
142,Trivandrum,VAMANAPURAM,No,,6384
143,Trivandrum,VELLANAD,No,,6386
144,Wayanad,MANANTHAVADY,No,,6404
145,Wayanad,SULTHAN BATHERY,No,,6405
146,Idukki,ADIMALY,No,,6286
147,Idukki,AZHUTHA,No,,6287
148,Idukki,DEVIKULAM,No,,6288
149,Idukki,IDUKKI,No,,6290
150,Idukki,KATTAPPANA,No,,6291
151,Wayanad,KALPETTA,No,,6403
152,Wayanad,PANAMARAM,No,,6882
